2023-12-16 15:26:32 install diffutils:amd64 <none> 1:3.8-4
2023-12-16 15:26:32 status half-installed diffutils:amd64 1:3.8-4
2023-12-16 15:26:33 status unpacked diffutils:amd64 1:3.8-4
2023-12-16 15:26:33 install libblkid1:amd64 <none> 2.38.1-5+b1
2023-12-16 15:26:33 status half-installed libblkid1:amd64 2.38.1-5+b1
2023-12-16 15:26:34 status unpacked libblkid1:amd64 2.38.1-5+b1
2023-12-16 15:26:34 install libcom-err2:amd64 <none> 1.47.0-2
2023-12-16 15:26:34 status half-installed libcom-err2:amd64 1.47.0-2
2023-12-16 15:26:34 status unpacked libcom-err2:amd64 1.47.0-2
2023-12-16 15:26:34 install libext2fs2:amd64 <none> 1.47.0-2
2023-12-16 15:26:34 status half-installed libext2fs2:amd64 1.47.0-2
2023-12-16 15:26:35 status unpacked libext2fs2:amd64 1.47.0-2
2023-12-16 15:26:35 install init-system-helpers:all <none> 1.65.2
2023-12-16 15:26:35 status half-installed init-system-helpers:all 1.65.2
2023-12-16 15:26:36 status unpacked init-system-helpers:all 1.65.2
2023-12-16 15:26:36 install e2fsprogs:amd64 <none> 1.47.0-2
2023-12-16 15:26:36 status half-installed e2fsprogs:amd64 1.47.0-2
2023-12-16 15:26:37 status unpacked e2fsprogs:amd64 1.47.0-2
2023-12-16 15:26:37 install findutils:amd64 <none> 4.9.0-4
2023-12-16 15:26:37 status half-installed findutils:amd64 4.9.0-4
2023-12-16 15:26:38 status unpacked findutils:amd64 4.9.0-4
2023-12-16 15:26:38 install grep:amd64 <none> 3.8-5
2023-12-16 15:26:38 status half-installed grep:amd64 3.8-5
2023-12-16 15:26:40 status unpacked grep:amd64 3.8-5
2023-12-16 15:26:40 install gzip:amd64 <none> 1.12-1
2023-12-16 15:26:40 status half-installed gzip:amd64 1.12-1
2023-12-16 15:26:41 status unpacked gzip:amd64 1.12-1
2023-12-16 15:26:41 install hostname:amd64 <none> 3.23+nmu1
2023-12-16 15:26:41 status half-installed hostname:amd64 3.23+nmu1
2023-12-16 15:26:42 status unpacked hostname:amd64 3.23+nmu1
2023-12-16 15:26:42 install libc-bin:amd64 <none> 2.36-9+deb12u3
2023-12-16 15:26:42 status half-installed libc-bin:amd64 2.36-9+deb12u3
2023-12-16 15:26:44 status unpacked libc-bin:amd64 2.36-9+deb12u3
2023-12-16 15:26:44 install libmount1:amd64 <none> 2.38.1-5+b1
2023-12-16 15:26:44 status half-installed libmount1:amd64 2.38.1-5+b1
2023-12-16 15:26:44 status unpacked libmount1:amd64 2.38.1-5+b1
2023-12-16 15:26:45 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2023-12-16 15:26:45 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2023-12-16 15:26:48 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
